"Hash","string"
"e65bfe50","I wonder if Luche is gonna be all right..."
"e95c0329","I know. She looked about ready to disappear."
"e85c01b6","I'm worried too, but let's let Mirei take care of her.
We've got our own stuff to handle right now."
"eb5c060f","Right. The master plan."
"ea5c049c","That's right--Project Reincarnation.
Taomon's brainchild."
"ed5c0955","Reincarnation... That's being reborn, right?
Wait, or was that resurrection?"
"ec5c07e2","Either would work, actually. You're pretty sharp, eh?"
"ef5c0cbb","This artist I like had a song called that on one of their
albums!"
"ee5c0ac8","Reincarnation, as the name suggests, is a codename for the
plan to bring about the rebirth of the Digital World."
"815920fa","This world was nearly overrun by the BH Program update.
As it stands now, recovery would be near impossible."
"8259226d","As such, better to return it to a state of pure data, purge
it, and let it be reborn anew. That's the idea, anyway."
"7f591d94","Purge the world and let it be reborn?
Is that even possible?"
"80591f07","It wouldn't be easy, but with Omegamon Zwart D in our hands,
it would be theoretically possible."
"7d591a4e","So, an AR plan? Those guys need Omegamon Zwart D for their
plan, too. What's AR supposed to mean?"
"7e591c21","Normally? ""Augmented Reality,"" I think. But in this case...
I can't figure out what they mean by it."
"7b591768","I believe they were saying it's a grand plan to tear down
all the gates that keep the parallel worlds apart."
"7c5918db","What would happen if you mashed the real world and Digital
World together like that?"
"79591402","Couldn't say. But you can be sure it'd cause a real panic in
both of them."
"7a5915f5","At worst, two merging dissonant worlds could interfere with
one another so much as to lead both of them to ruin."
"7b56d8f1","As in, the world would end?!"
"7a56d71e","We won't let it. We're gonna smash Tsuzuki and the others,
and take Omegamon Zwart D back."
"7956d5ab","That'll stop the AR Plan, plus make Reincarnation possible."
"7856d438","Hear, hear!"
"7f56df3d","How are you not terrified of them, Kouta?"
"7e56dd4a","I am, but how else are we supposed to save the world?
Scared or not, we've got no choice."
"7d56dbd7","I don't know how much we can do, but let's do what we can!
Right, Yukimura?"
"7c56da64","Right!"
"7356cc19","I can see how fired up you are, Kouta!"
"7256caa6","Yukimura... All right, let's go!
Suddenly I feel like maybe we can actually do this!"
"75549088","Looks like we've got no time to be scared either, Rikka.
Time to roll up our sleeves and get going!"
"7654927b","I don't think your sleeves are even long enough to roll up,
Himari."
"775493ee","Then I'm already good!"
"78549541","Not to rain on the parade, but how exactly are we supposed
to get Omegamon Zwart D back?"
"79549734","Oh, right... They've got that power like Mirei's where they
can just come and go through space."
"7a5498a7","So not only do we not know where they went, even if we did,
we couldn't really chase them down."
"7b549a1a","Well, then we'd better let Mirei in on the plan first.
She ought to turn up here once she's analyzed Luche."
"7c549b8d","Meanwhile, there's something I must ask of all of you."
"6d548410","The other core of Project Reincarnation is the town of
Floatia. Keep populating it until the plan is ready to go."
"6e548583","Which means, time to gather more residents!"
"7f65e9a7","Roger! Leave it to me!"
"7e65e834","Heh heh! Guess there's a sunrise at the end of every night.
You're one reliable bunch."
"8165ec8d","We'll let you know when we hear from Mirei. {0},
you help gather residents too."
"3025437d","Luche!"
"2d253ea4","You OK? Nothing too painful happened?"
"2e254017","Yeah..."
"2b253b5e","What did the analysis reveal, then?"
"2c253d31","Some fascinating things, indeed. The one that caught me by
surprise at first was... the makeup of Luche's body."
"29253878","It highly resembles that of a Digimon. They have a
similarity of--ready for this?--98.1%."
"2a2539eb","That's enough to say that, essentially, Luche is a Digimon.
Or as good as one, anyway."
"27253512","The humans of this world are pure digital data, so they
don't feel fatigue or hunger...but how about Luche?"
"28253685","Actually, I'm pretty sure she talked about being hungry back
when we first met."
"952820d3","And she said she was worn out when we escaped from Omegamon
Zwart D in the Server Tower, too."
"94281f60","So I'm...not human?
I'm...not like {0}?"
"97282439","Luche..."
"96282246","Next, and this will be difficult for you too, Luche, but...
That stuffed animal you were holding?"
"9928271f","I discovered traces of a network signal and some data
transmissions coming from inside it."
"982825ac","I've confirmed that most of what we've spoken about aloud
was transmitted over the network to... somewhere."
"9b282a65","Last, and most momentous and serious of all:"
"9a2828f2","Luche... was a carrier for the BH Program."
"9d282d4b","Good heavens! Are you sure?"
"9c282bd8","Positive. There was a program you might call the root virus
very cleverly concealed inside the animal."
"2320b198","Ahh. So we looked over Luche herself, but the stuffed
animal was the blind spot."
"2420b30b","Hang on. So is this thing still carrying the BH Program?
And if so, why is it anywhere near us?"
