"Hash","string"
"a95eb641","This city used to be way bigger and way better!"
"a95eb640","But then Machinedramon tore on through, and all the Digimon
just scattered..."
"a95eb643","The Floatia you see now is the one Jijimon and the rest of
us have worked to rebuild..."
"304f4aaa","Hey hey, play with me!"
"304f4aab","Taomon comes and plays with me sometimes!"
"16516072","DO_NOT_TRANSLATE"
"16516071","DO_NOT_TRANSLATE"
"16516070","DO_NOT_TRANSLATE"
"16516077","DO_NOT_TRANSLATE"
"16516076","DO_NOT_TRANSLATE"
"16516075","DO_NOT_TRANSLATE"
"16516074","DO_NOT_TRANSLATE"
"1651607b","DO_NOT_TRANSLATE"
"1651607a","DO_NOT_TRANSLATE"
"15515e80","DO_NOT_TRANSLATE"
"15515e81","DO_NOT_TRANSLATE"
"15515e82","DO_NOT_TRANSLATE"
"15515e83","DO_NOT_TRANSLATE"
"15515e84","DO_NOT_TRANSLATE"
"15515e85","DO_NOT_TRANSLATE"
"15515e86","DO_NOT_TRANSLATE"
"15515e87","DO_NOT_TRANSLATE"
"15515e88","DO_NOT_TRANSLATE"
"15515e89","DO_NOT_TRANSLATE"
"18516359","DO_NOT_TRANSLATE"
"1bd2b53d","This bed is awesome, puni!"
"1bd2b53c","I love this big house, puni!"
"1bd2b53f","But enough of that... What did you want to talk about, puni?
I can tell you all you need to know about battles, puni!"
"1ad2b34b","Now then, let's talk about battle basics, puni!"
"1ad2b348","When a battle starts, your partner Digimon will think for
themselves and fight to defeat the enemy, puni."
"1ad2b349","What's more, Tamers can help bring them to victory by giving
orders, puni."
"1ad2b34e","There are all sorts of things you can do, like setting
Special Moves, Agitated enhancements, and Skills, puni!"
"1ad2b34f","Just remember, you need Order Points (OP) to issue orders.
You can't just use them willy-nilly, puni!"
"1ad2b34c","Use them at the wrong time can result in needless waste or
missed opportunities, so be careful, puni..."
"1ad2b34d","You can also throw in items you've brought along to restore
or support your partners, puni. Use them well, puni!"
"1ad2b342","If you want to know more about this, ask anytime, puni.
I'll be happy to teach you, puni!"
"19d2b1d6","I'll teach you about Order Rings, puni. They're both basic
and important, puni!"
"19d2b1d5","To give Orders to your partner Digimon, first open the Order
Ring, puni."
"19d2b1d4","Press <icon>L</icon> to open Partner L's Order Ring, or <icon>R</icon>
to open Partner R's Order Ring, puni."
"19d2b1d3","It stays open while the button is pressed, but it'll close
by itself after a while, puni."
"19d2b1d2","With it open, move the cursor with <icon>LS</icon> and select the
Order you want with <icon>○</icon> to make it happen, puni!"
"19d2b1d1","I also hear you can learn more Tamer Skills to give more
types of Orders, puni."
"18d2b065","Now I'll tell you all about Attack Orders, puni!"
"18d2b066","The good part of Attack Orders is not just being able to use
them whenever you want, puni."
"18d2b067","They pack a bit more punch than what your partners do by
themselves, and they don't use MP, puni!"
"18d2b060","Still, there are times when you can't use them right away,
like if you're in the middle of doing something else, puni."
"18d2b061","If you can't use one at all, you'll get a ""no good"" message
when you try, puni. Others will execute late, puni."
"17d2aef0","Next it's OP and Support, puni!"
"17d2aef3","Issuing Orders uses Order Points (OP), puni. So how do you
increase your OP, puni?"
"17d2aef2","Your OP at the start of battle is equal to your Bond, puni."
"17d2aef5","Increasing your Bond lets you do more stuff right off the
bat, so always try and increase your Bond, puni!"
"17d2aef4","You can raise your OP during battle by using Support, puni."
"17d2aef7","Use Support with the <icon>○</icon> button, puni. This is
especially effective when pressed during attacks and defeat."
"17d2aef6","But it can't be used in rapid succession, puni. After using
Support, you'll have to wait a little to use it again."
"17d2aef9","Finally, OP gained using Support does not carry over to the
next battle. Your OP will revert to your Bond value, puni."
"17d2aef8","Taking on several battles in a short time period will add a
bit of bonus OP to the initial amount based on Bond, puni."
"16d2ad1e","Ten consecutive battles will raise your OP by 50, I hear.
Combine this with your Bond to fire off Special Moves, puni!"
"16d2ad1f","Now I'll tell you all about ExE. Extra Cross Evolution,
puni!"
"16d2ad1c","You'll have to meet some pretty strict conditions to use
Extra Cross Evolution, puni."
"16d2ad1d","First, your partner pairing, puni. One's got to be Mega and
higher, and the other needs to be Champion or higher, puni."
"16d2ad1a","Not only that, both of their Bonds and DigiFriends have to
be maxed out, puni."
"16d2ad1b","In this state, you can unleash an ExE instead of a Special
Move, puni."
"16d2ad18","But remember, you can only use this once per day, puni. What
did you expect, for something so crazy powerful, puni?!"
"16d2ad19","使用E x E使兩隻夥伴的力量合而為一，
這種超強力的狀態可以一直維持到戰鬥結束噗尼！"
"16d2ad16","如果數碼友情不高，或者其中一方是成熟期或完全體的話，
能力會稍微減弱，但即使如此也依然很厲害噗尼"
"16d2ad17","還有因為威力太強大了，所以有「一天只能使用一次」
這樣的限制，用的時候要留意哦噗尼"
"15d2abab","另外…　除了下達Order，聽說還有其他情況下
也能使出E x E呢…　一定是遇到危機時吧噗尼！？"
"15d2abaa","I'll tell you all about losing a battle, puni..."
"15d2aba9","When a Digimon's HP is reduced to zero it'll collapse, puni."
"15d2aba8","If both of your partner Digimon collapse, you'll lose the
battle and be sent back to the city, puni."
"15d2abaf","If one partner is still active, quick use of a Regen Disc
on the downed partner can prevent a defeat, puni."
"15d2abae","MP being reduced to 0 doesn't cause the same problem. Also,
MP slowly refills over time, puni."
"15d2abad","Of course, if you run out of MP you can't attack, so don't
go using it up all if you're looking to win, puni!"
"14d2aa39","The items you can use in battle are limited, puni. Let me
tell you about them, puni."
"14d2aa3a","You'll be using Recovery Discs the most, puni. They restore
a set amount of HP, puni."
"14d2aa3b","MP Discs are also important, puni. These will restore your
MP, puni."
"14d2aa3c","Regen Discs revive a Digimon when its HP hits zero, puni.
You're in trouble if you don't have one when you need it."
"14d2aa3d","Remedy Discs heal Status Abnormalities, puni. I'll explain
all the different kinds of Status Abnormalities separately."
"14d2aa3e","Plugins boost ATK and other stats during battle, puni."
"14d2aa3f","Holo-Discs are discs that affect a wide area. Use them well,
and you can affect both partners at once, puni."
"14d2aa30","That's the gist of it, puni. Keep as many Recovery Discs on
you as you can at all times, puni!"
"13d2a844","Next I'll tell you all about Status Abnormalities, puni."
"13d2a847","Some skills have secondary effects that can inflict Status
Abnormalities on your enemies, puni."
"13d2a846","Taking damage from a skill like that can also inflict such
Status Abnormalities on your own party, puni."
"13d2a841","These effects disappear after a certain amount of time, or
when the battle ends. Recovery Discs also fix them, puni."
"13d2a840","Also, if your partners have a high DigiFriend with each
other, they'll automatically heal the other's abnormality."
"13d2a843","Poison: HP progressively decreases.
Slow: Movements are slowed."
"13d2a842","Paralysis: Unable to move.
Confusion: Takes confused actions."
"13d2a84d","Rage: Targets the attacker.
Unjustified: Targets someone other than the attacker."
"13d2a84c","Sprite: Can only use weak inherent attack skills.
There... That's all seven of them, puni!"
"12d2a6d2","On the other hand, inflicting Status Abnormalities on foes
is better for you, puni. Try out skills with abnormalities!"
"12d2a6d3","Next I'll tell you all about Tactics, puni!"
"12d2a6d0","Tactics decide your overall plan, puni. Open Tactics with
<icon>□</icon>, puni."
"12d2a6d1","Press <icon>○</icon> immediately after opening to Escape, puni.
Running is a valid strategy, puni!"
"12d2a6d6","Press <icon>L</icon><icon>R</icon> to open panels with 
each partner's Battle Tactics, puni."
"12d2a6d7","You can ration how much MP to use, or change which enemy you
want to target, puni."
"12d2a6d4","Any MP limit will stay set that way from then on, puni.
You can also change this on your Digivice outside of battle."
"12d2a6d5","It's a good idea to change up your Tactics based on enemy
strength and attack skill MP usage ahead of time, puni."
"15d06d35","Here are some other details for you, puni."
"15d06d36","""Can you stack Status Abnormalities or Skill Increases?"" you
ask, puni."
"15d06d37","Up to three Status Abnormalities can stack at the same time,
puni. A fourth one will cause the first to disappear, puni."
"15d06d30","Skill Increases of the same type will overwrite each other,
puni. For example, if you use an Attack Plugin while ATK is"
"15d06d31","raised while Agitated, the effect period and amount will be
overwritten, to the same as if you had used it afterwards."
"16d06ea6","你想和強敵戰鬥噗尼…？
真厲害呢噗尼！"
"16d06ea5","使用「困難模式」
不使用「困難模式」
「困難模式」是什麼？"
"16d06ea4","變為「困難模式」了噗尼。
去外頭試著戰鬥看看就知道了噗尼…！"
"16d06ea3","不使用「困難模式」噗尼。
我知道了噗尼！"
"16d06ea2","所有敵人的強度將增強為2倍，
這就是「困難模式」噗尼…！"
"16d06ea1","我到底為什麼會被世界賦予更變模式的工作呢…！"
"16d06ea0","就算使用「困難模式」，
也不會特別得到什麼好處噗尼…"
